# Time-averaged data for fix myat1
# TimeStep v_velx
130000 0.00414823
130100 0.00088128
130200 0.0053179
130300 0.00119288
130400 0.00325549
130500 0.00934777
130600 0.000868632
130700 -0.0031248
130800 0.00442423
130900 0.000377987
131000 0.00894954
131100 0.00228506
131200 0.00267246
131300 0.00785094
131400 0.00338259
131500 0.00696431
131600 0.00620925
131700 0.00813825
131800 0.0052834
131900 0.00420962
132000 5.04765e-05
132100 0.00793251
132200 0.0121868
132300 0.0029075
132400 0.00656499
132500 0.00654256
132600 0.00664975
132700 0.00380957
132800 0.00582895
132900 0.0106393
133000 0.00429801
133100 0.00638842
133200 0.00502407
133300 0.00443626
133400 -6.93191e-06
133500 0.00681428
133600 0.00666369
133700 0.0076121
133800 0.00416767
133900 0.00383205
134000 0.00914303
134100 0.00595206
134200 0.00275766
134300 0.0142006
134400 0.0107805
134500 0.0086414
134600 -0.00244568
134700 -0.000133354
134800 0.00428331
134900 0.00647626
135000 0.0121509
135100 0.00871563
135200 0.00887332
135300 0.00431338
135400 0.0036249
135500 0.000334848
135600 0.00422129
135700 0.00298914
135800 0.00641149
135900 0.00495627
136000 0.00999982
136100 0.0124633
136200 0.000798317
136300 0.00462544
136400 0.0100322
136500 0.0152143
136600 0.00997583
136700 0.00240339
136800 0.000591385
136900 0.00127971
137000 0.00986019
137100 0.0108694
137200 0.00056496
137300 0.00469438
137400 0.00763124
137500 -0.000392385
137600 0.00393289
137700 -0.00347439
137800 -0.0039919
137900 0.00649882
138000 -0.000845542
138100 0.00878044
138200 0.0037924
138300 0.00438286
138400 -0.000594411
138500 0.00420674
138600 0.00370285
138700 0.00563307
138800 0.00706815
138900 0.00431897
139000 0.0065219
139100 0.0112917
139200 0.00551509
139300 0.00445582
139400 0.00922466
139500 0.0100408
139600 0.0073467
139700 0.00703928
139800 0.00840313
139900 -0.00325003
140000 0.00532671
140100 0.00197595
140200 0.00247796
140300 0.00235928
140400 -0.00413263
140500 -0.00248011
140600 0.0012848
140700 0.0122998
140800 0.00237906
140900 -0.000173315
141000 0.00894267
141100 0.0106038
141200 0.00462585
141300 0.0053351
141400 0.00278006
141500 0.0146372
141600 0.00686273
141700 0.00496227
141800 0.00780964
141900 0.0111619
142000 0.00373145
142100 0.00822345
142200 0.00524702
142300 0.0081732
142400 0.00713746
142500 0.00234836
142600 0.00704724
142700 0.00549877
